CdStationMesureEauxSurface;LbStationMesureEauxSurface;DtAnaTemp;HrAnaTemp;CdParametre;LbLongParamètre;CdFractionAnalysee;LbFractionAnalysee;RsAneTemp;CdUniteMesure;SymUniteMesure;CdStatutAnaTemp;MnemoStatutAna;CdQualAna;LbQualAna;INTProd;NomProducteur;INTGest;NomGest
6051550;ARDIERES A ST-JEAN-D'ARDIERES 1;04/01/2014;20:00:00;1301;Température de l'Eau;23;Eau brute;8.1949996948242205;27;°C;NA;NA;4;Non qualifié;NA;NA;NA;NA
6051550;ARDIERES A ST-JEAN-D'ARDIERES 1;04/01/2014;21:00:00;1301;Température de l'Eau;23;Eau brute;8.1700000762939506;27;°C;NA;NA;4;Non qualifié;NA;NA;NA;NA
6051550;ARDIERES A ST-JEAN-D'ARDIERES 1;04/01/2014;22:00:00;1301;Température de l'Eau;23;Eau brute;8.0200004577636701;27;°C;NA;NA;4;Non qualifié;NA;NA;NA;NA
6051550;ARDIERES A ST-JEAN-D'ARDIERES 1;04/01/2014;23:00:00;1301;Température de l'Eau;23;Eau brute;7.6700000762939498;27;°C;NA;NA;4;Non qualifié;NA;NA;NA;NA
6051550;ARDIERES A ST-JEAN-D'ARDIERES 1;05/01/2014;00:00:00;1301;Température de l'Eau;23;Eau brute;7.3179998397827104;27;°C;NA;NA;4;Non qualifié;NA;NA;NA;NA
6051550;ARDIERES A ST-JEAN-D'ARDIERES 1;05/01/2014;01:00:00;1301;Température de l'Eau;23;Eau brute;7.1669998168945304;27;°C;NA;NA;4;Non qualifié;NA;NA;NA;NA
6051550;ARDIERES A ST-JEAN-D'ARDIERES 1;05/01/2014;02:00:00;1301;Température de l'Eau;23;Eau brute;7.06599998474121;27;°C;NA;NA;4;Non qualifié;NA;NA;NA;NA
6051550;ARDIERES A ST-JEAN-D'ARDIERES 1;05/01/2014;03:00:00;1301;Température de l'Eau;23;Eau brute;6.9899997711181596;27;°C;NA;NA;4;Non qualifié;NA;NA;NA;NA
6051550;ARDIERES A ST-JEAN-D'ARDIERES 1;05/01/2014;04:00:00;1301;Température de l'Eau;23;Eau brute;6.9650001525878897;27;°C;NA;NA;4;Non qualifié;NA;NA;NA;NA
6051550;ARDIERES A ST-JEAN-D'ARDIERES 1;05/01/2014;05:00:00;1301;Température de l'Eau;23;Eau brute;6.9140000343322798;27;°C;NA;NA;4;Non qualifié;NA;NA;NA;NA
6051550;ARDIERES A ST-JEAN-D'ARDIERES 1;05/01/2014;06:00:00;1301;Température de l'Eau;23;Eau brute;6.8390002250671396;27;°C;NA;NA;4;Non qualifié;NA;NA;NA;NA
6051550;ARDIERES A ST-JEAN-D'ARDIERES 1;05/01/2014;07:00:00;1301;Température de l'Eau;23;Eau brute;6.73699998855591;27;°C;NA;NA;4;Non qualifié;NA;NA;NA;NA
6051550;ARDIERES A ST-JEAN-D'ARDIERES 1;05/01/2014;08:00:00;1301;Température de l'Eau;23;Eau brute;6.6110000610351598;27;°C;NA;NA;4;Non qualifié;NA;NA;NA;NA
6051550;ARDIERES A ST-JEAN-D'ARDIERES 1;05/01/2014;09:00:00;1301;Température de l'Eau;23;Eau brute;6.5349998474121103;27;°C;NA;NA;4;Non qualifié;NA;NA;NA;NA
6051550;ARDIERES A ST-JEAN-D'ARDIERES 1;05/01/2014;10:00:00;1301;Température de l'Eau;23;Eau brute;6.5089998245239302;27;°C;NA;NA;4;Non qualifié;NA;NA;NA;NA
6051550;ARDIERES A ST-JEAN-D'ARDIERES 1;05/01/2014;11:00:00;1301;Température de l'Eau;23;Eau brute;6.5349998474121103;27;°C;NA;NA;4;Non qualifié;NA;NA;NA;NA
6051550;ARDIERES A ST-JEAN-D'ARDIERES 1;05/01/2014;12:00:00;1301;Température de l'Eau;23;Eau brute;6.6869997978210396;27;°C;NA;NA;4;Non qualifié;NA;NA;NA;NA
